iteration	loss	n_p	w_0	w_1	c	ID	y	mean	mean_prob	mode	mode_prob	lb	ub	capture
73	0.863	96	-1.526808605328644	-5.2306856841460965	1.7622616195624763	4FR8_H	6.4	6.485	0.857	6.4	1.491	4.044	8.594	1
74	0.544	6	-1.5285877735043834	-5.246441091711596	1.7502674760155752	6XA0_B	8.5	7.686	0.035	8.5	5.137	4.463	8.588	1
75	0.932	589	-1.5288547542016615	-5.248769854732175	1.7476591073719345	7NZW_A	9.0	7.944	1.031	7.8	2.101	6.106	9.028	1
76	0.979	2	-1.528857753308641	-5.248778146144784	1.7466983494141575	4HXY_B	6.5	5.633	0.233	5.73	0.233	2.883	8.298	1
77	0.982	3	-1.5288731761663694	-5.248821371717296	1.7456260669277837	3HFS_B	6.85	7.575	0.892	7.5	2.039	5.303	10.015	1
78	0.929	48	-1.5291055021896893	-5.250852454009556	1.7432340406797673	1K5B_A	5.2	6.146	0.06	7.0	1.616	4.672	8.028	1
79	0.793	45	-1.5298820388638301	-5.257688461116374	1.7374117791538677	3SWA_B	7.5	7.27	0.096	7.5	2.338	6.165	8.602	1
80	1.0	0	-1.5298820388638301	-5.257688461116374	1.7374117791538677	3TO3_B	7.5	6.8	0.311	6.8	0.311	4.693	8.908	1
81	0.655	1	-1.531150894533938	-5.2689975963462885	1.7285009990023117	6Q1S_D	6.5	6.65	0.222	6.5	3.917	5.153	8.438	1
82	0.991	1	-1.531150894533938	-5.2689975963462885	1.7276062421667742	4L5N_F	5.5	7.65	0.125	8.5	2.459	5.153	8.658	1
83	1.0	0	-1.531150894533938	-5.2689975963462885	1.7276062421667742	1EVW_P	6.5	6.8	0.311	6.8	0.311	4.693	8.908	1
84	0.992	33	-1.5311386718827962	-5.2689494281021805	1.7268060371127694	6JYM_A	6.0	7.825	0.165	8.49	0.718	4.897	9.55	1
85	0.983	65	-1.5310839276347261	-5.268643163314751	1.7262813755626174	7KPF_F	8.0	6.951	0.379	7.5	0.588	4.86	8.638	1
86	0.978	20	-1.5311322460402659	-5.268765140986198	1.7249074029959104	3WEC_A	6.5	6.856	0.22	6.91	0.22	3.768	9.841	1
87	0.973	220	-1.5312188765730248	-5.2690602934421396	1.7232509636841298	2WZJ_F	7.0	7.397	0.282	6.5	0.493	5.123	9.726	1
88	1.0	0	-1.5312188765730248	-5.2690602934421396	1.7232509636841298	6E12_B	7.5	6.8	0.311	6.8	0.311	4.693	8.908	1
89	0.856	691	-1.531089370447256	-5.267767808114856	1.7231517968867027	1P2C_F	4.6	4.904	0.13	4.51	1.958	3.447	7.596	1
90	0.996	2	-1.531089370447256	-5.267767808114856	1.72226773010899	3PC8_D	8.5	6.267	0.095	6.5	2.651	5.383	8.128	0
91	0.944	24	-1.5312713683656658	-5.269506830039284	1.720262389220051	5F3R_A	8.5	6.588	0.249	5.51	1.156	5.005	8.606	1
92	0.971	315	-1.5312272306141752	-5.269145012618423	1.7196672869565823	3SDA_D	6.1	6.833	0.103	7.01	0.653	4.898	8.6	1
93	0.897	17	-1.5315680245492873	-5.271899887985067	1.7165704843174985	6COF_B	6.4	6.372	1.021	6.19	1.603	4.739	8.333	1
94	0.808	6	-1.5323001071540545	-5.278394095468254	1.7110209236243479	3MMX_H	7.5	7.2	3.181	7.2	3.181	6.303	7.588	1
95	0.995	5	-1.5323001071540545	-5.278394095468254	1.7101611353058745	4DMZ_B	7.5	7.067	0.051	6.5	2.463	6.003	8.538	1
96	0.914	32	-1.5326089584978893	-5.280715854543349	1.707153818898084	2V0Y_A	7.5	7.715	0.26	7.5	0.946	5.447	9.693	1
97	0.964	93	-1.5326701762255328	-5.281089472011597	1.7058619247694562	6V54_A	7.0	6.626	0.285	7.0	0.364	4.463	8.552	1
98	0.984	51	-1.532676710419839	-5.2811261793824595	1.704965447434042	3NR9_C	9.3	7.335	0.409	7.0	0.744	5.429	9.255	0
99	1.0	17	-1.532676710419839	-5.2811261793824595	1.7041177427527885	2DEA_A	4.7	7.806	0.017	8.0	6.06	6.973	8.078	0
100	0.978	1635	-1.5326691297196005	-5.281024388226191	1.7033066185674341	2V17_L	7.2	6.767	0.193	7.49	0.429	4.173	9.01	1
101	0.884	5	-1.5331005501436195	-5.284884393948982	1.6996822951946633	5TWK_D	8.5	6.717	0.052	7.0	2.468	4.458	8.538	1
102	0.646	1	-1.534396837800171	-5.296459941167482	1.6904705134943092	5VQE_A	6.5	6.65	0.206	6.5	4.058	5.153	8.438	1
103	1.0	0	-1.534396837800171	-5.296459941167482	1.6904705134943092	2GK4_B	8.5	6.8	0.311	6.8	0.311	4.693	8.908	1
104	0.958	42	-1.53447819456731	-5.297070822880283	1.689082124868463	3LJ0_B	6.5	6.657	0.249	6.5	0.441	4.601	8.929	1
105	0.979	1	-1.5344469806699754	-5.2969524812261355	1.6885125754410628	3C3M_A	5.5	6.65	0.404	6.56	0.406	4.953	8.478	1
106	0.989	4	-1.5344220999123588	-5.296870169528534	1.6879093420029188	5T3P_C	7.5	5.96	0.205	5.5	3.146	4.671	7.928	1
107	0.963	14	-1.5345400130910114	-5.297561983398967	1.6862899318274016	3W9R_A	7.0	6.787	0.354	6.01	0.76	5.053	8.478	1
108	0.991	30	-1.534535474568959	-5.297551853395587	1.6855227400032957	3KVO_B	5.5	7.542	0.207	8.77	0.286	4.187	9.796	1
109	0.996	4	-1.534535474568959	-5.297551853395587	1.6847139396857562	7AEX_A	5.5	7.66	0.073	8.0	4.271	5.933	8.098	0
110	1.0	0	-1.534535474568959	-5.297551853395587	1.6847139396857562	2G3A_A	8.0	6.8	0.311	6.8	0.311	4.693	8.908	1
111	0.934	48	-1.5347647498352526	-5.299426166633214	1.6823994235191766	1HDI_A	8.0	7.216	0.174	6.5	0.961	5.223	8.801	1
112	0.729	99	-1.5356373808925803	-5.307156967046048	1.6758903812449106	5CQP_A	7.5	7.113	0.241	7.5	3.036	4.598	8.477	1
113	0.923	589	-1.5359234050931354	-5.30970942841166	1.6732227605693981	5LL4_B	9.0	7.944	0.96	7.8	2.454	6.091	9.021	1
