iteration	loss	n_p	w_0	w_1	c	ID	y	mean	mean_prob	mode	mode_prob	lb	ub	capture
73	0.969	13	-3.000230310128353	-1.0085057178920416	3.441188140308999	2CJF_L	7.5	7.436	0.153	7.34	0.153	2.714	12.0	1
74	0.961	41	-3.0002451656100044	-1.0090788359847909	3.3976963958967126	5ZOZ_B	7.4	6.924	0.198	6.92	0.198	3.572	10.269	1
75	0.977	308	-3.0002477749794623	-1.0091568813242577	3.3552170830810764	7OLV_A	8.5	7.009	0.12	7.28	0.12	1.27	12.0	1
76	0.976	34	-3.000249710657549	-1.0092076280598812	3.3135555134601056	4RF7_B	7.8	7.04	0.123	7.05	0.123	1.29	12.0	1
77	0.965	6	-3.0002578114840612	-1.0095125932788094	3.2726913649710565	4RJ0_D	7.5	7.514	0.177	7.5	0.177	3.044	11.5	1
78	0.983	1	-3.0002566337757615	-1.0094703601463515	3.2328884467817907	1OEY_M	9.0	6.65	0.246	6.75	0.247	3.623	9.507	1
79	0.966	17	-3.0002658251851777	-1.0098165794346126	3.193651734208072	6CWT_F	6.5	7.006	0.171	6.78	0.172	3.199	11.02	1
80	0.965	691	-3.0002782851603875	-1.0102904338887244	3.1551077715744724	4A7D_A	4.6	4.904	0.175	4.69	0.176	1.1	8.98	1
81	0.959	2	-3.0002917644306324	-1.010809168947714	3.1173397736745527	5G4P_E	5.5	5.933	0.222	6.29	0.227	2.812	8.718	1
82	0.98	14	-3.000291787965952	-1.010809552395979	3.080616376126764	4TSN_D	4.2	6.52	0.176	6.76	0.178	2.598	10.242	1
83	0.966	9	-3.0002995101933907	-1.0110980641885081	3.0444348860949044	3E9Q_B	7.5	6.55	0.177	6.81	0.178	2.545	10.274	1
84	0.961	7	-3.0003094273474145	-1.011466306444786	3.008849858038488	4Q1K_C	7.0	7.163	0.192	7.13	0.192	3.157	11.07	1
85	1.0	0	-3.0003094273474145	-1.011466306444786	3.008849858038488	4ESQ_A	5.5	6.8	0.311	6.8	0.311	4.693	8.908	1
86	0.96	239	-3.0003256594443917	-1.0120746458401937	2.973898488485404	4MQI_B	6.7	6.956	0.2	6.92	0.2	3.611	10.33	1
87	0.978	23	-3.0003261854257692	-1.0120922966612016	2.9400147486057717	5V79_B	8.8	6.644	0.174	6.67	0.174	2.577	10.61	1
88	1.0	0	-3.0003261854257692	-1.0120922966612016	2.9400147486057717	2YBY_A	6.0	6.8	0.311	6.8	0.311	4.693	8.908	1
89	0.969	7	-3.000339101578784	-1.012589772847133	2.9065415013827773	1XGO_A	4.5	5.788	0.155	5.05	0.16	2.072	9.983	1
90	0.976	61	-3.0003420979137716	-1.0126823995757288	2.8739079227380104	2PXA_B	4.6	6.46	0.16	6.4	0.16	2.293	10.72	1
91	0.956	3	-3.0003605299983365	-1.0133912282499868	2.8416202456239814	2Q6V_A	8.2	7.85	0.229	7.65	0.23	5.123	10.739	1
92	0.974	577	-3.000362568381081	-1.0134296442891964	2.810150901056397	4KNN_B	7.0	7.958	0.137	7.92	0.137	3.2	12.0	1
93	0.965	24	-3.0003713114848	-1.0137348223753067	2.7792136396888063	3MFS_A	7.2	6.788	0.178	6.77	0.178	2.727	10.87	1
94	0.961	3	-3.000377452415545	-1.013913852011344	2.7489365232769223	7BW9_C	7.5	7.3	0.197	7.01	0.2	3.811	11.056	1
95	0.967	233	-3.0003840211649466	-1.0141633923404938	2.7194147842987113	5CLX_B	5.5	6.507	0.192	6.69	0.193	3.109	9.751	1
96	0.964	5	-3.0003921160069513	-1.0144595224029598	2.690394476998603	1W1U_B	5.8	6.75	0.207	6.71	0.207	3.27	10.294	1
97	0.995	7	-3.0003850435229675	-1.0141906547829185	2.662389477100971	4DRH_E	3.5	7.163	0.233	7.07	0.233	4.363	10.043	0
98	0.981	4	-3.000388039896824	-1.0143093859167929	2.634720712196178	5YHE_B	8.5	5.7	0.147	6.4	0.153	1.36	9.757	1
99	0.971	86	-3.0003912274171176	-1.0143872083446155	2.607316204315522	5GNY_D	7.8	6.923	0.15	7.0	0.15	2.43	11.35	1
100	0.976	3	-3.000386505901596	-1.0142049724312157	2.5808773734743804	4A0X_A	5.4	7.325	0.233	7.18	0.234	4.287	10.54	1
101	1.0	0	-3.000386505901596	-1.0142049724312157	2.5808773734743804	5L73_B	8.0	6.8	0.311	6.8	0.311	4.693	8.908	1
102	0.954	206	-3.0004075267203385	-1.0149858187644623	2.554270979796399	7CXG_B	7.5	7.663	0.228	7.66	0.228	4.695	10.63	1
103	0.958	8	-3.0004179852360826	-1.015388015702884	2.5285332482917524	4NQR_B	7.5	6.711	0.236	6.66	0.236	3.919	9.561	1
104	0.975	10	-3.0004186965847275	-1.015384725373074	2.503312147712416	3OUT_C	9.0	7.636	0.156	7.28	0.158	3.36	12.0	1
105	0.958	49	-3.0004343257316024	-1.0159818289707168	2.47842810992958	3VJM_B	8.8	7.828	0.242	7.94	0.243	4.888	10.58	1
106	0.974	18	-3.000435547420832	-1.0160132577873804	2.4542557369488422	2HAG_A	7.5	6.426	0.134	6.81	0.135	1.297	11.4	1
107	1.0	0	-3.000435547420832	-1.0160132577873804	2.4542557369488422	2IF2_C	6.15	6.8	0.311	6.8	0.311	4.693	8.908	1
108	0.966	31	-3.000442296794224	-1.0162705638691811	2.430605152887628	7LB1_A	5.5	6.684	0.2	6.7	0.2	3.45	9.917	1
109	0.964	1	-3.0004523549953657	-1.0166566693194563	2.4073370636150093	6GVK_B	5.0	5.5	0.185	6.19	0.192	2.361	8.448	1
110	0.959	3	-3.000459026519242	-1.0169121211544936	2.384625549734224	5JYB_B	7.5	6.325	0.251	6.5	0.252	3.601	8.86	1
111	0.979	14	-3.000454242504626	-1.0167410917099429	2.3626818359166726	5UI2_B	7.7	5.513	0.207	5.39	0.207	2.406	8.763	1
112	0.966	108	-3.0004643802709574	-1.0171147884769933	2.340705814777531	6V7T_B	8.0	6.878	0.173	7.39	0.178	3.03	10.38	1
113	0.951	4	-3.0004818913731865	-1.0177862784682636	2.319010546176926	4NDB_B	6.25	6.71	0.242	6.48	0.245	4.09	9.577	1
114	0.956	2	-3.000485403439488	-1.017863956005386	2.2978393247956426	3EEZ_A	7.0	7.267	0.216	6.99	0.219	4.134	10.706	1
115	0.947	2	-3.0005108749358063	-1.0188386649314247	2.2767561249758903	5C5D_D	8.0	7.6	0.273	7.59	0.273	5.223	9.979	1
116	0.947	9	-3.0005382840304726	-1.0198885861428546	2.2560364182613983	4WWD_A	7.5	7.18	0.259	7.43	0.262	4.17	9.695	1
117	0.947	16	-3.000565869944008	-1.0209439365284012	2.2357019962317715	3QSS_B	7.0	7.276	0.258	7.01	0.262	4.687	10.3	1
118	0.96	164	-3.000578309893102	-1.0213701233798411	2.2159644116744697	1TSN_A	8.0	7.541	0.203	7.64	0.204	4.0	10.95	1
119	0.972	14	-3.0005764425812584	-1.0212738334689775	2.197243270392779	3MGM_B	7.0	7.796	0.159	8.88	0.176	3.753	11.121	1
120	0.966	60	-3.00058791013882	-1.0217047953737124	2.178552362028945	3LBK_A	4.5	6.013	0.182	5.42	0.188	2.875	9.348	1
121	0.966	36	-3.0005912772997627	-1.0217795835219583	2.1601464359622744	6EE5_A	6.5	6.893	0.174	7.06	0.174	2.967	10.74	1
122	0.964	313	-3.000598536473433	-1.022044764898284	2.1423120257329713	6CQL_E	8.0	6.819	0.219	6.82	0.219	3.793	9.81	1
123	0.952	41	-3.0006236045895993	-1.0230001719319384	2.1242236814930266	1E2N_B	7.5	6.811	0.218	7.43	0.239	2.877	9.643	1
124	0.959	14	-3.000636919042447	-1.0234752337946365	2.1067536941880003	5EQ4_D	6.5	7.533	0.204	7.01	0.215	4.458	11.27	1
125	0.969	52	-3.0006495407566605	-1.0239581183296467	2.0898171709215436	4XX4_B	4.6	6.117	0.14	7.53	0.166	2.739	9.401	1
126	1.0	0	-3.0006495407566605	-1.0239581183296467	2.0898171709215436	3KSM_B	7.5	6.8	0.311	6.8	0.311	4.693	8.908	1
127	0.939	89	-3.0006895463191374	-1.025461468516519	2.0722847936746858	5ETX_D	6.5	6.546	0.305	6.51	0.305	4.352	8.775	1
128	1.0	0	-3.0006895463191374	-1.025461468516519	2.0722847936746858	4FQD_B	6.5	6.8	0.311	6.8	0.311	4.693	8.908	1
129	0.957	168	-3.00070313468582	-1.0259175489210013	2.055746379089381	4JUM_B	7.5	7.47	0.213	7.55	0.213	4.184	10.64	1
130	0.95	42	-3.0007233389479984	-1.0266665541180464	2.039497570012319	5PGU_E	7.3	7.07	0.256	6.96	0.256	4.502	9.756	1
131	0.954	1	-3.0007281053472785	-1.0267880922875143	2.0238675349029975	2YGT_A	6.0	6.65	0.261	6.73	0.262	3.956	9.224	1
132	0.967	1554	-3.0007316472152232	-1.0268903602594184	2.0086572926950357	4KVC_L	6.0	6.753	0.177	6.94	0.178	2.93	10.41	1
133	0.94	6	-3.0007654574879528	-1.028184450452179	1.9929845631097765	5CA3_B	6.0	6.271	0.301	6.15	0.302	4.145	8.514	1
134	0.975	5	-3.0007582853044528	-1.0279161448029528	1.978999184695428	3CJT_P	5.8	7.633	0.271	7.72	0.271	5.229	9.968	1
135	0.961	12	-3.0007677307918637	-1.028253730550399	1.9646374345518416	5L0G_D	7.0	6.415	0.177	7.18	0.193	2.752	9.621	1
136	0.965	143	-3.0007697424746853	-1.0282921338254454	1.9504912206843916	5N55_C	6.0	6.766	0.197	6.99	0.198	3.154	10.118	1
137	0.974	1	-3.000769585176028	-1.0282861167788375	1.9371092933757519	5NMZ_D	6.0	8.65	0.101	10.46	0.178	5.153	11.95	1
138	0.961	7	-3.0007879564398574	-1.0289938512614376	1.9233574336058894	2WQ3_A	8.5	7.138	0.187	7.98	0.202	3.966	9.97	1
