Column1	Column2
pentaerythritol ethoxylate 15/4-eooh	pentaerythritol ethoxylate
pentaerythritol propoxylate	pentaerythritol propoxylate
pentaerythritol propoxylate 5/4-pooh	pentaerythritol propoxylate
pentaerythritol propoxylate po/oh 5/4	pentaerythritol propoxylate
pga lm	pga lm
phenol	phenol
pmsf	phenylmethylsulfonyl fluoride
phosphate	phosphate
citrate phosphate	phosphate citrate
phosphate citrate	phosphate citrate
phosphate/citrate	phosphate citrate
citrate/phosphate	phosphate citrate
pipes	pipes
polyacrylic acid	polyacrylic acid
polyacrylic acid	polyacrylic acid 5100
pcb	polychlorinated biphenyl
k acetate	potassium acetate
koac	potassium acetate
potassium acetate	potassium acetate
kbr	potassium bromide
potassium bromide	potassium bromide
kcl	potassium chloride
potassium chloride	potassium chloride
k citrate	potassium citrate
potassium citrate	potassium citrate
tri potassium citrate	potassium citrate
potassium citrate tribasic	potassium citrate
potassium fluoride	potassium fluoride
kf	potassium fluoride
k formate	potassium formate
potassium formate	potassium formate
ki	potassium iodide
potassium iodide	potassium iodide
k nitrate	potassium nitrate
potassium nitrate	potassium nitrate
kno3	potassium nitrate
potassium phosphate	potassium phosphate
potassium hydrogen phosphate	potassium phosphate
kh2 po4	potassium phosphate
k2 hpo4	potassium phosphate
potassium phosphate dibasic	potassium phosphate
potassium phosphate monobasic	potassium phosphate
potassium dihydrogen phosphate	potassium phosphate
k phosphate	potassium phosphate
kpi	potassium phosphate
kpo4	potassium phosphate
potassium phosphate calcium chloride pdtp	potassium phosphate calcium chloride pdtp
k sulfate	potassium sulfate
potassium sulfate	potassium sulfate
k2 so4	potassium sulfate
kscn	potassium thiocyanate
k thiocyanate	potassium thiocyanate
potassium thiocyanate	potassium thiocyanate
proline	proline
propan-2-ol	isopropanol
propanol	propanol
pvp k15	pvp k15
plp	pyridoxal phosphate
sam	s-adenosyl methionine
sah	s-adenosyl-l-homocysteine
sds	sds
sodium acetate	sodium acetate
na acetate	sodium acetate
sodium acetate trihydrate	sodium acetate
naoac	sodium acetate
naac	sodium acetate
naacetate	sodium acetate
ch3 coona	sodium acetate
sodium acetate/acetic acid	sodium acetate
nan3	sodium azide
sodium azide	sodium azide
na azide	sodium azide
nabr	sodium bromide
sodium bromide	sodium bromide
sodium cacodylate	sodium cacodylate
na cacodylate	sodium cacodylate
sodium cacodylate trihydrate	sodium cacodylate
nacacodylate	sodium cacodylate
nacl	sodium chloride
sodium chloride	sodium chloride
sodium citrate	sodium citrate
na citrate	sodium citrate
tri sodium citrate	sodium citrate
sodium citrate tribasic dihydrate	sodium citrate
trisodium citrate	sodium citrate
nacitrate	sodium citrate
sodium citrate tribasic	sodium citrate
tri sodium citrate dihydrate	sodium citrate
sodium citrate tribasic dehydrate	sodium citrate
na3 citrate	sodium citrate
sodium citrate/citric acid	sodium citrate
tri na citrate	sodium citrate
na succinate	sodium succinate
sodium succinate	sodium succinate
na dithionite	sodium dithionite
sodium dithionite	sodium dithionite
na edta	sodium edetate
sodium edta	sodium edetate
naf	sodium fluoride
sodium fluoride	sodium fluoride
sodium formate	sodium formate
na formate	sodium formate
naformate	sodium formate
nai	sodium iodide
sodium iodide	sodium iodide
sodium malonate	sodium malonate
na malonate	sodium malonate
namalonate	sodium malonate
na nitrate	sodium nitrate
sodium nitrate	sodium nitrate
nano3	sodium nitrate
na oxamate	sodium oxamate
sodium oxamate	sodium oxamate
sodium phosphate	sodium phosphate
nah2 po4	sodium phosphate
sodium phosphate monobasic	sodium phosphate
na2 hpo4	sodium phosphate
sodium dihydrogen phosphate	sodium phosphate
dibasic sodium phosphate	sodium phosphate
sodium phosphate monobasic monohydrate	sodium phosphate
sodium phosphate dibasic	sodium phosphate
napi	sodium phosphate
na phosphate	sodium phosphate
disodium hydrogen phosphate	sodium phosphate
na/k phosphate	sodium potassium phosphate
sodium/potassium phosphate	sodium potassium phosphate
sodium potassium phosphate	sodium potassium phosphate
na k phosphate	sodium potassium phosphate
nak phosphate	sodium potassium phosphate
k/nah2 po4	sodium potassium phosphate
na/kpo4	sodium potassium phosphate
na/k dibasic/monobasic phosphate	sodium potassium phosphate
potassium sodium tartrate	sodium potassium tartrate
potassium sodium tartrate tetrahydrate	sodium potassium tartrate
na/k tartrate	sodium potassium tartrate
k/na tartrate	sodium potassium tartrate
sodium potassium tartrate	sodium potassium tartrate
sodium/potassium tartrate	sodium potassium tartrate
potassium/sodium tartrate	sodium potassium tartrate
na k tartrate	sodium potassium tartrate
k na tartrate	sodium potassium tartrate
nak tartrate	sodium potassium tartrate
na sulfate	sodium sulfate
sodium sulfate	sodium sulfate
na2 so4	sodium sulfate
sodium sulphate	sodium sulfate
sodium tartrate	sodium tartrate
na tartrate	sodium tartrate
na thiocyanate	sodium thiocyanate
sodium thiocyanate	sodium thiocyanate
nascn	sodium thiocyanate
spermidine	spermidine
spermine	spermine
spermine tetrahydrochloride	spermine tetrahydrochloride
spermine hcl	spermine tetrahydrochloride
spermine tetra hcl	spermine tetrahydrochloride
spermine tetrachloride	spermine tetrahydrochloride
spg	spg
srcl2	strontium chloride
strontium chloride	strontium chloride
succinate	succinate
succinic acid	succinic acid
sucrose	sucrose
tacsimate	tacsimate
tascimate	tacsimate
taps	taps
taurine	taurine
tcep	tcep
tcep hcl	tcep
tert butanol	tert butanol
t butanol	tert butanol
trehalose	trehalose
tricl	trichloride
tea	triethanolamine
trimethylamine n oxide	trimethylamine n oxide
tmao	trimethylamine n oxide
trimethylamine n oxide dihydrate	trimethylamine n oxide
tris	tris
tris hcl	tris
tris/hcl	tris
tris cl	tris
trishcl	tris
tris hydrochloride	tris
tris:hcl	tris
