iteration	loss	n_i	w_0	w_1	ID	y	yhat
150	-0.0024239008787018926	11	-1.03758418746966	2.9911379881862086	3KVU_D	0.0	0.002420965603051685
151	-0.003638058120080859	7	-1.03758418746966	2.9911379881862086	4KAW_X	0.0	0.003631448404577528
152	-0.00485369133150788	5	-1.03758418746966	2.9911379881862086	6E60_A	0.0	0.00484193120610337
153	-0.007289400049020426	3	-1.03758418746966	2.9911379881862086	5N1P_D	0.0	0.007262896809155056
154	-0.007289400049020426	3	-1.03758418746966	2.9911379881862086	4IV1_D	0.0	0.007262896809155056
155	-0.014632325860560347	1	-1.03758418746966	2.9911379881862086	1PUG_D	0.0	0.014525793618310112
156	-0.055758746031001755	33	-1.0356061805511179	2.991277209860689	7K41_A	0.0	0.05423272152118103
157	-0.009731055931999707	2	-1.0356061805511179	2.991277209860689	3BTU_F	0.0	0.00968386241220674
158	-0.2973461477460067	3	-1.0355984149974111	2.9912818430591446	2R6S_A	0.0	0.2572131461381377
159	-0.031590785374791944	132	-1.0356507155762298	2.991267313037455	5NSG_A	0.0	0.031097009760328677
160	-0.0017484510227657817	599	-1.0356527951036976	2.9912666692869796	3T5Z_A	0.0	0.0017469233727464423
161	-0.014632325860560347	1	-1.0356527951036976	2.9912666692869796	2C43_A	0.0	0.014525793618310112
162	-0.0017103787604579104	16	-1.0356527951036976	2.9912666692869796	6W7F_A	0.0	0.001708916896271778
163	-0.04000677887721906	381	-1.0356409749610271	2.9912736389213315	5JQS_D	0.0	0.03921707389924257
164	-0.025312827031311352	42	-1.0357215895668226	2.9912430148123614	3OO0_B	0.0	0.024995143558751046
165	-0.014632325860560347	1	-1.0357215895668226	2.9912430148123614	5ZIQ_D	0.0	0.014525793618310112
166	-0.004158862841899563	6	-1.0357215895668226	2.9912430148123614	3VDI_A	0.0	0.004150226748088603
167	-0.0019386504514566697	14	-1.0357215895668226	2.9912430148123614	2Q3N_B	0.0	0.0019367724824413482
168	-0.009731055931999707	2	-1.0357215895668226	2.9912430148123614	3LID_B	0.0	0.00968386241220674
169	-0.0008548237058355551	33	-1.0357215895668226	2.9912430148123614	4QDH_B	0.0	0.000854458448135889
170	-0.007289400049020426	3	-1.0357215895668226	2.9912430148123614	4YLF_D	0.0	0.007262896809155056
171	-0.005827263013035162	4	-1.0357215895668226	2.9912430148123614	3IN9_A	0.0	0.005810317447324045
172	-0.10862153062936022	237	-1.035897661721939	2.991157750287996	3U3E_A	0.0	0.10293013327350442
173	-0.009731055931999707	2	-1.035897661721939	2.991157750287996	6NHX_A	0.0	0.00968386241220674
174	-0.00028209402979542485	102	-1.035897661721939	2.991157750287996	6ALJ_D	0.0	0.0002820542450157303
175	-0.0010022809860480049	28	-1.035897661721939	2.991157750287996	5GW6_A	0.0	0.0010017788702282836
176	-0.029481940049237265	0	-1.035897661721939	2.991157750287996	3GYC_B	0.0	0.029051587236620224
