iteration	loss	n_p	w_0	w_1	ID	y	yhat
103	-0.10850500292010698	24	-1.0463112475633813	2.988171125611935	3IMY_A	0.0	0.10282559368613363
104	-0.9270640627060974	8	-1.0488361738815501	2.987252491153178	1BJO_B	0.0	0.6042862025374969
105	-2.151314281324312	3	-1.0488361705712197	2.9872524941145024	6GTO_A	0.0	0.8836688346200977
106	-0.123675263326621	3	-1.0488361702458517	2.987252494439281	6RXG_B	1.0	0.8836667532965793
107	-0.8520797722715834	894	-1.048361850556507	2.9872519590471756	3LW0_D	0.0	0.5734730700341663
108	-0.566806437326025	51	-1.0484634914742608	2.987199407279562	3HBT_A	0.0	0.43266563344342057
109	-0.62611100350748	0	-1.0484634914742608	2.987199407279562	5K34_A	1.0	0.5346670814164797
110	-0.62611100350748	0	-1.0484634914742608	2.987199407279562	6YRA_D	1.0	0.5346670814164797
111	-0.3619811388721548	1837	-1.0492397041325456	2.9870128310558597	6EA5_R	1.0	0.6962955006363765
112	-0.31073006071012826	48	-1.053646879996695	2.986233385095611	5ILY_A	1.0	0.7329116908304777
113	-1.1207105552238357	180	-1.054377130448559	2.985973081721547	3LOK_B	0.0	0.6739519628414724
114	-0.02354163543302266	19	-1.054377129635342	2.9859730824027513	6BTW_D	1.0	0.9767333071080548
115	-0.765019767166473	0	-1.054377129635342	2.9859730824027513	2CJS_C	0.0	0.5346752672680538
116	-0.05992691251654119	7	-1.0543771292984434	2.9859730826931794	5HTP_A	1.0	0.94183336729943
117	-0.62611100350748	0	-1.0543771292984434	2.9859730826931794	2E2H_T	1.0	0.5346670814164797
118	-0.8284834986600551	3	-1.070501094072872	2.982178380103988	3CRQ_A	0.0	0.5632889426900075
119	-0.2680072584287937	9	-1.0724472403355607	2.981590243873143	5GLX_A	0.0	0.23509777090564946
120	-0.14074380692477356	15	-1.0743745888152223	2.981066275931417	5KLN_D	1.0	0.8687118411492681
121	-2.0073875859430372	728	-1.076454386552638	2.9806277004508357	4RW2_A	1.0	0.13433916618112693
122	-0.18586457483820093	50	-1.0778485752096418	2.98014261025173	7B9Y_A	1.0	0.8303860425318126
123	-0.3571875988051989	491	-1.077272338985542	2.980604139616249	3DA6_A	1.0	0.6996412335630108
124	-0.04199858926241974	12	-1.077272338985542	2.980604139616249	5MRQ_A	0.0	0.04112886671292722
125	-1.067678008868321	132	-1.0774529429707593	2.980690700351636	4BYH_B	0.0	0.6561940944399297
126	-0.3467672685876533	4	-1.077458922802232	2.9806865804504836	4LI2_B	1.0	0.7069698432032043
127	-0.9566042434114194	14	-1.0812548789964767	2.979530851783028	3GO6_B	1.0	0.3841953071164329
128	-0.22443700990115886	60	-1.0855760602120592	2.978467610625725	6NW7_B	0.0	0.20103409794395308
129	-0.27808447452435237	21	-1.090789651454817	2.9770215587044917	1HUK_B	0.0	0.2427671480725172
130	-0.7305556237097104	4	-1.0861696533230851	2.9785551413377456	2H8G_B	1.0	0.4816413044025297
131	-0.42478967237848925	174	-1.0920793764873453	2.977806649505472	2CHW_A	1.0	0.6539073054354216
132	-0.09768630900681506	4	-1.0920793749321314	2.9778066507003293	3WDU_D	1.0	0.9069333559617248
133	-0.07264805726107439	599	-1.0930317702346053	2.9775394851673402	4MTY_A	0.0	0.07007194613333066
134	-1.0054973194496803	628	-1.094322588592604	2.977535384404798	4HVS_A	0.0	0.6341373610535329
135	-1.0802993310193922	119	-1.093242575585783	2.9776921026271848	5JSM_D	0.0	0.6605061106177312
136	-0.2648337081144504	1	-1.093242575585783	2.9776921026271848	5UWC_I	1.0	0.7673335407082398
137	-0.9793633516551806	15	-1.0841017782420104	2.9814225645846633	4RPE_A	0.0	0.624449883881824
138	-0.39332054371560343	13	-1.0838022159393073	2.981501355614396	7K3P_B	0.0	0.325187593961443
139	-0.6946557811951225	46	-1.1015426157810375	2.979352340071628	7B68_B	1.0	0.4992462683653727
140	-0.483234724572024	2	-1.1167128130917017	2.9781396965175837	6WTF_B	1.0	0.6167850317785246
141	-0.09768627288936584	4	-1.1167128125784913	2.9781396970299867	5BO7_B	1.0	0.9069333887178448
142	-0.8730894587385243	78	-1.1186733541735545	2.9782783650981948	4UND_B	1.0	0.41765921306038023
143	-1.026854701586742	14	-1.1166495169379336	2.9786758590012115	7TM4_A	1.0	0.35813162176610663
144	-1.863632055834582	2	-1.1166495169379336	2.9786758590012115	5Z5B_C	0.0	0.8448917557560178
145	-0.8993651473881552	88	-1.11970060537572	2.9784828084921493	2ZZC_D	1.0	0.40682785349980166
146	-1.0259170172583745	13	-1.1129304351165015	2.9787075564077674	5MSO_A	1.0	0.35846759366850633
147	-0.43939144874879016	61	-1.1119694433551028	2.978906442486088	5H88_D	1.0	0.6444284695317041
148	-0.2255350072215286	7	-1.1110872751063008	2.9789530994436095	3QQR_B	0.0	0.20191087892380705
149	-0.9381051313606191	13	-1.1113211840582722	2.978814786805984	6JZE_B	0.0	0.6086312744835082
150	-0.7222585119331362	4	-1.1097438627163694	2.9796405419438736	3BQ8_B	0.0	0.5143458393211762
151	-0.3840931657823336	3	-1.11726853252198	2.9791558390726216	2DT9_B	0.0	0.3189320280067661
152	-0.34127977930841724	39	-1.1138716462537046	2.9799152303513496	4ZGW_B	1.0	0.7108599964638203
153	-1.7247232921755897	2	-1.1138716462537046	2.9799152303513496	3BH2_D	1.0	0.1782223604721599
154	-0.2648337081144504	1	-1.1138716462537046	2.9799152303513496	2ZME_D	1.0	0.7673335407082398
155	-0.16854996012428525	2	-1.1138716470540615	2.979915229669834	1M6Z_D	1.0	0.8448890516024661
156	-0.37325052603263265	14	-1.1126113318088864	2.9800400558597815	4D3W_A	1.0	0.6884927258850037
157	-0.5363103891102147	217	-1.1127721517826725	2.9799659813723878	5XVH_A	0.0	0.41509766190264785
158	-1.0115633898228726	42	-1.1134404324951865	2.9799596621892754	3V2I_A	0.0	0.6363499917965233
159	-0.8408122474264994	6	-1.1269854828332815	2.9783682945831207	5OJG_B	1.0	0.4313600100385023
160	-0.765019767166473	0	-1.1269854828332815	2.9783682945831207	3O12_A	0.0	0.5346752672680538
161	-0.09768624249523636	4	-1.1269854828332815	2.9783682945831207	6X3B_D	1.0	0.906933416283296
162	-0.6915705997786753	7	-1.117071220536687	2.98051511219913	3N9W_B	1.0	0.5007889121190671
163	-0.10563559160110264	58	-1.1177813453501706	2.9804127146746597	1LN8_A	0.0	0.10024753430202206
164	-0.4984767124308662	88	-1.1199311387162323	2.980014904068435	5EBK_B	0.0	0.3925447156172868
165	-0.36677413840276085	366	-1.1198710792766988	2.980036607686082	4MEQ_A	1.0	0.6929661418100436
166	-1.4151467585497752	237	-1.1201993633374654	2.979912653215019	4IT8_A	1.0	0.24288996465395615
167	-0.3275298362369794	14	-1.1223842111663167	2.979417701601064	3EQX_B	1.0	0.720701787925417
168	-0.2368428519736694	26	-1.1254693726879095	2.9784197166874917	4WHR_F	0.0	0.21088471381590793
169	-2.0124053646273707	3	-1.1254693726879095	2.9784197166874917	3TH1_C	1.0	0.13366677035411992
170	-0.7040129497898492	6	-1.1253784341352713	2.9784739932884334	2QRA_D	0.0	0.5054034749954733
171	-0.4187120087286534	207	-1.1258274060027724	2.9785095821130128	2DUZ_A	1.0	0.6578936356124556
172	-0.4490768742374365	782	-1.126129014978859	2.978444655500501	6XW7_H	1.0	0.6382170343600659
173	-1.1557634776648327	2011	-1.127433727206522	2.978263191055381	6C5H_L	0.0	0.6851829106892866
174	-0.6872145894631118	83	-1.1219197470638196	2.9791667861214304	1K5P_A	0.0	0.4970248881163548
175	-0.31107030208610736	1	-1.1219197470638196	2.9791667861214304	5Y3S_D	0.0	0.2673376336340269
176	-0.09768627410977294	4	-1.1219197464124953	2.979166786706367	3QVC_A	1.0	0.9069333876110168
